id;name;sales_manager_id;country_id;partner_status;contact_person;contract_email;industry_id;signer;signer_position;legal_adress;registration_number;base_of_activity_id;vat_number;bank_name;bank_adress;swift_code;iban_code
1;reciprocal withdrawal;47270;Dollar architecture сенсорный;true;переопределение порт;envisioneer;консультант world-class Adaptive;конденсатор брандмауэр;iterate;онлайн Account global;Account superstructure интеграционный;Волгоградская Районный e-markets;Бетонный Хлопковый Неодимовый;Кулон;индексировать Эргономичный;музыка paradigms;Национальный
2;функциональный маркетинговый;30321;сжатие;true;regional;красота;операционный Enhanced;Гранитный специалист шифрование;payment;background пурпурный;музыка leverage Ремень;Market Интеллектуальный;back-end Cambridgeshire Хлопковый;wireless RSS Практичный;агент Account функциональный;Checking;механизм
3;Международный cutting-edge Account;86752;bricks-and-clicks magnetic invoice;true;Bedfordshire инженер reinvent;Куба Натуральный;Генеральный reintermediate e-business;распарсить туризм;переопределить вычислить пиксель;экспортировать;вычислить;revolutionary блок;брандмауэр;Рязанская Мьянма;область Вьетнам;Account Майка;next
4;красота;29084;интерфейс Korean Berkshire;true;Гранитный;Colon Кулон;область проспект;Iraqi;Свободный eyeballs;Игрушки 24/7 ОЗУ;Игрушки коммуникационный;соединение Leu implement;full-range;разбор Bedfordshire;оптический secondary Доминиканская;ХЗ оптимизационный;бирюзовый область
5;Клатч беспроводной твердотельный;49030;Interface;false;Ведущий Практичный;Глобальный;Ремень Большой;hierarchy Кирибати Невероятный;vortals Шарф;interfaces Хлопковый;пр.;Стол;experiences пр. Кепка;Sharable SAS Networked;Buckinghamshire throughput площадь;операционный Великобритания deliver;оптимизационный
6;Компьютер Острова deposit;53972;Куртка обойти;false;seamless;Дом;сенсорный Районный Фантастический;Rial benchmark;Чувашская операционный Автомобиль;Маленький вспомогательный ключ;специалист e-business;Borders специалист Kina;channels;Checking консультант;Expanded Cambridgeshire;промышленное красота;deliver
7;withdrawal;56416;Эритрея разведения код;true;Шарф leading-edge свободно-распростроняемый;Checking;соединить;Configurable цифровой Алжир;solution-oriented соединить;Фантастический шифрование;Peso;technologies Egyptian здоровье;область paradigm сжатие;Object-based;Лоснящийся;площадь скачивание;Невероятный harness специалист
8;сохранить;48973;Automated ул.;true;виртуальный productize;Международный;Конго responsive;Большой Клатч;ключ Генеральный ХЗ;user-centric leverage разбор;улица;Гранитный;копирование Маленький Reduced;Cambridgeshire Customizable;tangible enable зеленый;операционный нейронный;Армения Интеллектуальный область
9;radical invoice ADP;24000;планировщик;true;поглотитель свободно-распростроняемый;Либерия взлом;Guilder;Dollar Плащ аналитик;поглотитель;real-time оператор;enhance;функциональный;iterate next-generation invoice;pricing область Практичный;автономный Berkshire granular;пр. дизайнер;e-markets
10;твердотельный Innovative;32392;инженер;true;проспект;Глобальный Генеральный Компьютер;withdrawal Grass-roots;holistic;Фиджи Personal;SMS;metrics;supply-chains;ИИ Organized bandwidth;demand-driven Дом автономный;group Генеральный;НМЖД;Virtual переопределение Tugrik
